	head	relation	pred_tail	true_tail	rank	ppls
0	Stan_Collymore	playsFor	Manchester_City_F.C.	England_national_football_team	72	118.27446746826172
1	Suriname	hasOfficialLanguage	French_language	Dutch_language	2	2036.5303955078125
2	Mantorras	playsFor	S.C._Beira-Mar	F.C._Alverca	39	303.38787841796875
3	Pablo_Bonells	isAffiliatedTo	Mexico_national_under-23_football_team	Club_Celaya	122	402.0271301269531
4	Jürgen_Habermas	isInterestedIn	Philosophy_of_religion	Political_philosophy	8	233.77455139160156
5	Victorio_Cocco	isAffiliatedTo	Almirante_Brown_de_Arrecifes	Argentina_national_football_team	18	265.2745056152344
6	Velibor_Vasović	playsFor	F.K._Red_Star_Belgrade	AFC_Ajax	1745	132.84671020507812
7	Telmo_Zarra	diedIn	Santander,_Spain	Bilbao	18	542.6602783203125
8	Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury	hasGender	female	male	2	15.842606544494629
9	Torbjörn_Nilsson	isAffiliatedTo	Malmö_FF	IFK_Göteborg	17	126.30237579345703
10	Rosemère,_Quebec	isLocatedIn	Thérèse-De_Blainville_Regional_County_Municipality	Quebec	21	41.628570556640625
11	Mark_Blake_(footballer_born_1970)	isAffiliatedTo	Horden_Colliery_Welfare_A.F.C.	Portsmouth_F.C.	179	66.23149871826172
12	Tony_Jantschke	playsFor	SpVgg_Erkenschwick	Germany_national_youth_football_team	110	178.337890625
13	Pavel_Košťál	isAffiliatedTo	SK_Benešov	F.C._Hansa_Rostock	234	121.79136657714844
14	Bret_McKenzie	hasMusicalRole	wordnet_organ_105297523	wordnet_vocal_music_107282006	7	3667.80908203125
15	Édouard_Wawrzyniak	isAffiliatedTo	E.S._Troyes_A.C.	Valenciennes_F.C.	62	69.00128173828125
16	Chaker_Zouagi	playsFor	AS_Marsa	Olmaliq_FK	3010	5885.47998046875
17	Nicolás_Olivera	isAffiliatedTo	Club_Olimpo	Córdoba_C.F.	379	272.8519287109375
18	Guy_Dardenne	isAffiliatedTo	SC_Eendracht_Aalst	R._White_Daring_Molenbeek	13	212.4117889404297
19	Jim_Moffat	isAffiliatedTo	Camelon_Juniors_F.C.	Albion_Rovers_F.C.	8	397.46710205078125
20	Alan_Sunderland	playsFor	Manchester_City_F.C.	Derry_City_F.C.	731	129.3640899658203
21	José_Callejón	playsFor	Burgos_CF_(I)	Real_Madrid_C	99	90.23802947998047
22	Adrian_Pătulea	isAffiliatedTo	AFC_Arieșul_Turda	FC_Rapid_București	5	76.92729187011719
23	Jesús_Turiel	isAffiliatedTo	CD_Mirandés	Real_Valladolid_B	195	592.38671875
24	Divya_Bharti	actedIn	The_Burning_Train	Balwaan	381	865.9092407226562
25	Luciano_Quadros_da_Silva	wasBornIn	Jundiaí	Porto_Alegre	47	258.13311767578125
26	Pat_Noonan	isAffiliatedTo	Houston_Dynamo	Colorado_Rapids	76	2423.78466796875
27	Battle_of_the_Dukla_Pass	happenedIn	Second_Polish_Republic	Nazi_Germany	50	291.42529296875
28	Frank_Mill	isAffiliatedTo	SV_Werder_Bremen	Fortuna_Düsseldorf	3	466.4305725097656
29	Volodymyr_Muntyan	isAffiliatedTo	FC_Lokomotyv_Kyiv	S.K._Tavriya_Simferopol	103	105.47138214111328
30	Leopold_III,_Margrave_of_Austria	hasChild	Leopold_III,_Margrave_of_Austria	Gertrude_of_Babenberg,_Duchess_of_Bohemia	10	21.06005859375
31	Marcel_Schmelzer	playsFor	FSV_Salmrohr	Germany_national_under-21_football_team	113	230.576416015625
32	Eran_Zahavi	wasBornIn	Beersheba	Rishon_LeZion	11	177.12843322753906
33	Antonio_Candreva	playsFor	Italy_national_under-18_football_team	Ternana_Calcio	89	48.02916717529297
34	Robert_Louis_Stevenson	influences	Daniel_Handler	David_Leavitt	4	2846.31005859375
35	Stan_Lazaridis	playsFor	Richmond_SC	Perth_Glory_FC	89	2189.038818359375
36	Sean_Green_(basketball)	isAffiliatedTo	Liga_Profesional_de_Baloncesto	Utah_Jazz	14	44.4099235534668
37	Fabio_Bonci	playsFor	F.C._Vittoria	Parma_F.C.	67	88.99822235107422
38	National_Union_(Israel)	isLocatedIn	National_Union_(Israel)	Jerusalem	260	160.6217803955078
39	Arran_Lee-Barrett	playsFor	Burnley_F.C.	Cardiff_City_F.C.	146	155.61436462402344
40	Larbi_Benbarek	isAffiliatedTo	A.C._Ajaccio	RS_Settat	1367	159.09710693359375
41	Andy_Saville	playsFor	Horden_Colliery_Welfare_A.F.C.	Barnsley_F.C.	51	78.79938507080078
42	Celso_Brum_Junior	playsFor	Al-Raed	Clube_Esportivo_Bento_Gonçalves	175	657.1878051757812
43	Republic_of_Serbian_Krajina	participatedIn	Croatian_War_of_Independence	Croatian_War_of_Independence	1	79.53649139404297
44	Srikanth_Deva	wroteMusicFor	Bommalattam	Sivakasi_(film)	520	434.743896484375
45	Jörg_Reeb	playsFor	1._FC_Saarbrücken	FC_Augsburg	21	78.14725494384766
46	Christian_Perez_(footballer_born_1963)	isAffiliatedTo	US_Albi	Shanghai_Greenland_F.C.	2130	524.8602905273438
47	Josip_Škorić	hasGender	male	male	1	214.4906463623047
48	Frank_Pingel	isAffiliatedTo	K._Waterschei_S.V._Thor_Genk	TSV_1860_München	453	1191.9443359375
49	Festus_Agu	playsFor	FC_Nordstern_Basel	SV_Wacker_Burghausen	202	1531.0611572265625
50	Gerald_Thomas	directed	Carry_On_Loving	Carry_On_Emmannuelle	30	1696.210693359375
51	Jorginho_Putinatti	playsFor	São_Paulo_FC	Brazil_national_football_team	77	797.62744140625
52	Erik_Sundin	isAffiliatedTo	Hammarby_IF	Trelleborgs_FF	67	506.27178955078125
53	Anzor_Kavazashvili	isAffiliatedTo	Russia_national_under-21_football_team	FC_Spartak_Moscow	5	125.52700805664062
54	Jean_Templin	wasBornIn	Créteil	Baranovichi	10148	417.1285095214844
55	Grigorij_Khizhnyak	isAffiliatedTo	PBC_CSKA_Moscow	Makedonikos_B.C.	247	125.57933807373047
56	Wang_Xiao	playsFor	China_national_under-23_football_team	Tianjin_Teda_F.C.	22	128.5895538330078
57	Alexander_Downer	hasWonPrize	Centenary_Medal	Centenary_Medal	1	622.3654174804688
58	Weston,_Connecticut	isLocatedIn	Fairfield_County,_Connecticut	New_York_metropolitan_area	3	75.2012939453125
59	Oscoda,_Michigan	isLocatedIn	Suffolk_County,_Massachusetts	Iosco_County,_Michigan	4267	842.5026245117188
60	Gmina_Pietrowice_Wielkie	isLocatedIn	Gmina_Pietrowice_Wielkie	Racibórz_County	13	28.715633392333984
61	Massimo_Maccarone	playsFor	Calcio_Padova	Italy_national_under-20_football_team	132	92.96807098388672
62	Herman_Van_Rompuy	hasGender	female	male	2	329.62750244140625
63	Bridgeport_Sound_Tigers	isLocatedIn	Braehead_Clan	Fairfield_County,_Connecticut	3909	1817.387939453125
64	Lee_Keun-ho	playsFor	Jeju_United_FC	Daegu_FC	3	299.10540771484375
65	Anders_Jacobsen_(footballer)	playsFor	Íþróttabandalag_Vestmannaeyja	Oldham_Athletic_A.F.C.	294	16.638240814208984
66	Laryea_Kingston	playsFor	F.C._Ashdod	Heart_of_Midlothian_F.C.	5888	579.2177734375
67	Kenny_Tete	playsFor	SC_Cambuur	Ajax_Youth_Academy	76	1987.4832763671875
68	Manuel_Clares	isAffiliatedTo	CD_Logroñés	Spain_national_football_team	112	858.5179443359375
69	Bruno_Pereirinha	isAffiliatedTo	S.C._Beira-Mar	Vitória_S.C.	60	95.87799072265625
70	George_H._Plympton	created	The_Lone_Ranger_Rides_Again	The_Green_Hornet_(serial)	129	61.975669860839844
71	Justin_Moose	isAffiliatedTo	Vancouver_Whitecaps_FC_Residency	Sriracha_F.C.	2089	353.6754455566406
72	Joe_Smith_(footballer_born_1890)	hasGender	male	male	1	311.1757507324219
73	Saving_Private_Ryan	isLocatedIn	Robin_Hood_(2010_film)	United_States	5789	456.59661865234375
74	William_S._Burroughs	influences	Peter_S._Beagle	Michael_Cisco	618	38.295372009277344
75	Harald_Wapenaar	isAffiliatedTo	Sparta_Rotterdam	FC_Utrecht	6	215.18191528320312
76	Sebastián_González	isAffiliatedTo	Deportes_Antofagasta	Club_Olimpo	346	56.0195426940918
77	Oliver_Hardy	actedIn	The_First_Seven_Years	The_Devil's_Brother	1411	622.3814697265625
78	Gertrude_of_Babenberg,_Duchess_of_Bohemia	hasChild	Gertrude_of_Babenberg,_Duchess_of_Bohemia	Frederick,_Duke_of_Bohemia	8	16.942232131958008
79	Louis_I_of_Hungary	diedIn	Vincennes	Trnava	15977	340.89190673828125
80	Eric_Bana	actedIn	American_Gangster_(film)	Hulk_(film)	477	138.1975555419922
81	Jimmy_Robertson_(footballer_born_1880)	playsFor	Horden_Colliery_Welfare_A.F.C.	Chelsea_F.C.	886	42.497459411621094
82	Nivaldo_Batista_Santana	playsFor	Alecrim_Futebol_Clube	Real_Valladolid	706	257.8023376464844
83	Gonzalo_Abán	playsFor	Rangers_de_Talca	Racing_de_Olavarría	438	615.5421752929688
84	Stuart_Gilmore	edited	Some_Like_It_Hot	Thoroughly_Modern_Millie	2726	545.5432739257812
85	Folsom,_California	isLocatedIn	Massachusetts	Sacramento_County,_California	2133	827.814453125
86	Battle_of_Dürenstein	happenedIn	Kingdom_of_Bohemia	First_French_Empire	8	199.46572875976562
87	Prince_Leopold_of_Bavaria	hasWonPrize	House_Order_of_Hohenzollern	Grand_Cross_of_the_Iron_Cross	6	56.89122009277344
88	Héctor_González_(Venezuelan_footballer)	playsFor	Unión_Comercio	Alki_Larnaca_F.C.	1791	43.48930358886719
89	Teejan_Bai	hasWonPrize	Military_Medal	Padma_Shri	220	2135.19384765625
90	Darren_Baxter_(English_footballer)	isAffiliatedTo	Los_Angeles_Skyhawks	Torquay_United_F.C.	198	649.6354370117188
91	Francis_Banecki	isAffiliatedTo	SpVgg_Erkenschwick	VfB_Oldenburg	170	643.272216796875
92	Milan_Blagojevic	playsFor	Perth_Glory_FC	Newcastle_Jets_FC	16	152.02688598632812
93	Azar_Karadas	playsFor	Molde_FK	Kasımpaşa_Spor_Kulübü	1399	1244.2200927734375
94	Pontus_Farnerud	playsFor	Malmö_FF	Landskrona_BoIS	15	377.6922302246094
95	Redange	isLocatedIn	Diekirch_District	Luxembourg	8	685.6536865234375
96	Terry_Gibson	playsFor	Manchester_United_F.C.	Manchester_United_F.C.	1	136.70440673828125
97	Kadrina_Parish	isLocatedIn	Lääne-Viru_County	Estonia	22	138.72059631347656
98	Óscar_Téllez	playsFor	UD_Las_Palmas_Atlético	Pontevedra_CF	106	67.88858032226562
99	Habsburg_Monarchy	participatedIn	Battle_of_Arcis-sur-Aube	Battle_of_Toulon_(1707)	180	73.6555404663086
100	Alec_Linwood	isAffiliatedTo	Drumchapel_Amateur_F.C.	St._Mirren_F.C.	48	198.42620849609375
101	Kim_Jong-kyung	playsFor	Super_Reds_FC	Gwangju_Sangmu_FC	3	1147.5164794921875
102	Tinjan	isLocatedIn	Tinjan	Croatia	27	1342.4613037109375
103	Kelly_Parker	hasGender	female	female	1	23366.580078125
104	Joey_Castillo	hasMusicalRole	wordnet_sitar_104224842	wordnet_piano_103928116	17	1703.93701171875
105	Michael_Ingham_(footballer)	playsFor	Horden_Colliery_Welfare_A.F.C.	Cliftonville_F.C.	362	38.63974380493164
106	Levi_Mackin	isAffiliatedTo	Stratford_Town_F.C.	York_City_F.C.	111	252.0309600830078
107	Donald_C._Wurster	hasGender	female	male	2	840.7139282226562
108	Radolfzell	isLocatedIn	Waldshut_(district)	Baden-Württemberg	62	217.3584747314453
109	José_Ribeiro	playsFor	C.D._Aves	Vitória_S.C.	64	59.87299346923828
110	Mario_Tokić	playsFor	Croatia_national_under-21_football_team	Croatia_national_football_team	14	52.20790100097656
111	Manny_Lagos	isAffiliatedTo	Sporting_Kansas_City	University_of_Wisconsin–Milwaukee	822	295.81915283203125
112	Laureano_Sanabria_Ruiz	playsFor	CD_Logroñés	Deportivo_de_La_Coruña_B	111	407.6999206542969
113	Paulius_Grybauskas	playsFor	FK_Daugava_(2003)	Neftchi_Baku_PFK	510	196.8212127685547
114	Cristina_Fernández_de_Kirchner	isAffiliatedTo	Justicialist_Party	Front_for_Victory	6805	33.62538146972656
115	Andrei_Daniel_Marinescu	isAffiliatedTo	CF_Brăila	CS_Turnu_Severin	12	360.5152282714844
116	Neil_McCann	playsFor	Dundee_F.C.	Falkirk_F.C.	5	201.59353637695312
117	Oladipupo_Martins	playsFor	ND_Gorica	FK_Partizan	45	906.8010864257812
118	Carlos_Domínguez	isAffiliatedTo	CD_Mirandés	RCD_Mallorca	237	203.72781372070312
119	Irinel_Voicu	isAffiliatedTo	CS_Universitatea_Craiova_(football)	FC_Forex_Brașov	52	218.30450439453125
120	David_Neave	playsFor	Gretna_F.C.	Arbroath_F.C.	356	216.2776641845703
121	Shahryar_Dastan	playsFor	Shahin_F.C.	Missouri_Comets	8245	102.80215454101562
122	Sigurd_the_Crusader	hasGender	female	male	2	1003.0339965820312
123	Steve_Whitmire	actedIn	Muppets_from_Space	The_Muppets_Take_Manhattan	372	385.03302001953125
124	Aleksandar_Pantić_(footballer_born_1992)	playsFor	FK_Zemun	Villarreal_CF	3697	19.18210220336914
125	Riga_International_Airport	isConnectedTo	Riga_International_Airport	Amsterdam_Airport_Schiphol	90	79.47098541259766
126	Dirk_Lottner	wasBornIn	Hagen	Cologne	45	542.046875
127	Iñaki_Sáez	wasBornIn	Santander,_Spain	Bilbao	14	94.87619018554688
128	Ivor_Broadis	isAffiliatedTo	Manchester_United_F.C.	Carlisle_United_F.C.	87	166.25543212890625
129	Luka_Žorić	isAffiliatedTo	Anadolu_Efes_S.K.	KK_Union_Olimpija	4	58.135284423828125
130	Abdurrahman_Sharafkandi	wasBornIn	Halabja	Mahabad	906	73.44178771972656
131	José_Luis_Martínez_Gullotta	playsFor	Gimnasia_y_Esgrima_de_Mendoza	Racing_Club_de_Avellaneda	33	29.213272094726562
132	Stefan_Ertl	playsFor	Fortuna_Düsseldorf	SC_Fortuna_Köln	34	32.75008773803711
133	Carlos_Valencia	playsFor	Unión_Comercio	Atlético_Huila	335	243.4790496826172
134	Nicolas_Plestan	playsFor	Avenir_Club_Avignonnais	FC_Schalke_04	2060	678.9871215820312
