	head	relation	pred_tail	true_tail	rank	ppls
0	Stan_Collymore	playsFor	Leicester_City_F.C.	England_national_football_team	13	125.84867095947266
1	Suriname	hasOfficialLanguage	English_language	Dutch_language	6	1714.5469970703125
2	Mantorras	playsFor	Angola_national_football_team	F.C._Alverca	5	1095.1783447265625
3	Pablo_Bonells	isAffiliatedTo	Pumas_Morelos	Club_Celaya	5	890.3392944335938
4	Jürgen_Habermas	isInterestedIn	Political_philosophy	Political_philosophy	1	274.7740478515625
5	Victorio_Cocco	isAffiliatedTo	Club_Atlético_Atlanta	Argentina_national_football_team	7	317.751953125
6	Velibor_Vasović	playsFor	FK_Partizan	AFC_Ajax	8	104.05384063720703
7	Telmo_Zarra	diedIn	Bilbao	Bilbao	1	738.2153930664062
8	Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury	hasGender	male	male	1	15.272393226623535
9	Torbjörn_Nilsson	isAffiliatedTo	Västra_Frölunda_IF	IFK_Göteborg	5	49.56736755371094
10	Rosemère,_Quebec	isLocatedIn	Thérèse-De_Blainville_Regional_County_Municipality	Quebec	4	41.656837463378906
11	Mark_Blake_(footballer_born_1970)	isAffiliatedTo	Kidderminster_Harriers_F.C.	Portsmouth_F.C.	8	54.789371490478516
12	Tony_Jantschke	playsFor	SC_Borea_Dresden	Germany_national_youth_football_team	2	1560.180419921875
13	Pavel_Košťál	isAffiliatedTo	SC_Wiener_Neustadt	F.C._Hansa_Rostock	6	45.88064956665039
14	Bret_McKenzie	hasMusicalRole	wordnet_drum_103249569	wordnet_vocal_music_107282006	6	5240.90771484375
15	Édouard_Wawrzyniak	isAffiliatedTo	SC_Fives	Valenciennes_F.C.	7	111.45476531982422
16	Chaker_Zouagi	playsFor	Olympique_Béja	Olmaliq_FK	9	825.7313842773438
17	Nicolás_Olivera	isAffiliatedTo	Defensor_Sporting	Córdoba_C.F.	21	424.9572448730469
18	Guy_Dardenne	isAffiliatedTo	Boussu_Dour_Borinage	R._White_Daring_Molenbeek	31	380.703857421875
19	Jim_Moffat	isAffiliatedTo	Forfar_Athletic_F.C.	Albion_Rovers_F.C.	9	165.24118041992188
20	Alan_Sunderland	playsFor	Ipswich_Town_F.C.	Derry_City_F.C.	7	143.43751525878906
21	José_Callejón	playsFor	Real_Madrid_C.F.	Real_Madrid_C	5	39.73173904418945
22	Adrian_Pătulea	isAffiliatedTo	CSM_Studențesc_Iași	FC_Rapid_București	11	63.863826751708984
23	Jesús_Turiel	isAffiliatedTo	Pontevedra_CF	Real_Valladolid_B	5	221.99147033691406
24	Divya_Bharti	actedIn	Dil_Aashna_Hai	Balwaan	707	379.51324462890625
25	Luciano_Quadros_da_Silva	wasBornIn	São_Paulo	Porto_Alegre	4	226.5581817626953
26	Pat_Noonan	isAffiliatedTo	Indiana_Hoosiers_men's_soccer	Colorado_Rapids	10	300.6885986328125
27	Battle_of_the_Dukla_Pass	happenedIn	Kingdom_of_Hungary_(1920–46)	Nazi_Germany	7	89.52845001220703
28	Frank_Mill	isAffiliatedTo	Rot-Weiss_Essen	Fortuna_Düsseldorf	7	1064.3824462890625
29	Volodymyr_Muntyan	isAffiliatedTo	Soviet_Union_national_football_team	S.K._Tavriya_Simferopol	25	336.3943176269531
30	Leopold_III,_Margrave_of_Austria	hasChild	Henry_II,_Duke_of_Austria	Gertrude_of_Babenberg,_Duchess_of_Bohemia	7	40.04463195800781
31	Marcel_Schmelzer	playsFor	SV_Fortuna_Magdeburg	Germany_national_under-21_football_team	6	107.34744262695312
32	Eran_Zahavi	wasBornIn	Holon	Rishon_LeZion	2	637.2116088867188
33	Antonio_Candreva	playsFor	Italy_national_under-18_football_team	Ternana_Calcio	13	47.9903678894043
34	Robert_Louis_Stevenson	influences	Robert_Louis_Stevenson	David_Leavitt	50	186.9975128173828
35	Stan_Lazaridis	playsFor	Floreat_Athena_FC	Perth_Glory_FC	6	897.313720703125
36	Sean_Green_(basketball)	isAffiliatedTo	Continental_Basketball_Association	Utah_Jazz	49	275.0089416503906
37	Fabio_Bonci	playsFor	Mantova_F.C.	Parma_F.C.	3	140.52894592285156
38	National_Union_(Israel)	isLocatedIn	Israel	Jerusalem	25	507.30682373046875
39	Arran_Lee-Barrett	playsFor	Ipswich_Town_F.C.	Cardiff_City_F.C.	8	140.44715881347656
40	Larbi_Benbarek	isAffiliatedTo	USM_Bel-Abbès	RS_Settat	969	194.8656463623047
41	Andy_Saville	playsFor	Hull_City_A.F.C.	Barnsley_F.C.	12	52.73420715332031
42	Celso_Brum_Junior	playsFor	Busaiteen_Club	Clube_Esportivo_Bento_Gonçalves	4	1679.2349853515625
43	Republic_of_Serbian_Krajina	participatedIn	Croatian_War_of_Independence	Croatian_War_of_Independence	1	79.60604095458984
44	Srikanth_Deva	wroteMusicFor	Aalwar	Sivakasi_(film)	9	792.3922119140625
45	Jörg_Reeb	playsFor	1._FC_Saarbrücken	FC_Augsburg	7	78.0694808959961
46	Christian_Perez_(footballer_born_1963)	isAffiliatedTo	Montpellier_HSC	Shanghai_Greenland_F.C.	12	143.329833984375
47	Josip_Škorić	hasGender	male	male	1	214.84307861328125
48	Frank_Pingel	isAffiliatedTo	IK_Skovbakken	TSV_1860_München	11	377.5481872558594
49	Festus_Agu	playsFor	ACB_Lagos	SV_Wacker_Burghausen	13	3727.782958984375
50	Gerald_Thomas	directed	Carry_On_(franchise)	Carry_On_Emmannuelle	32	182.38478088378906
51	Jorginho_Putinatti	playsFor	Sociedade_Esportiva_Palmeiras	Brazil_national_football_team	9	129.05972290039062
52	Erik_Sundin	isAffiliatedTo	AFC_United	Trelleborgs_FF	43	1388.1116943359375
