     	head                                                   	relation            	pred_tail                                                       	true_tail                                             	rank  	ppls
0    	Stan_Collymore                                         	playsFor            	Leicester_City_F.C.                                             	England_national_football_team                        	13    	30.8721923828125
1    	Suriname                                               	hasOfficialLanguage 	English_language                                                	Dutch_language                                        	6     	218.12294006347656
2    	Mantorras                                              	playsFor            	Angola_national_football_team                                   	F.C._Alverca                                          	5     	278.5730285644531
3    	Pablo_Bonells                                          	isAffiliatedTo      	Pumas_Morelos                                                   	Club_Celaya                                           	5     	392.1234436035156
4    	Jürgen_Habermas                                        	isInterestedIn      	Political_philosophy                                            	Political_philosophy                                  	1     	62.94614791870117
5    	Victorio_Cocco                                         	isAffiliatedTo      	Club_Atlético_Atlanta                                           	Argentina_national_football_team                      	7     	132.1473846435547
6    	Velibor_Vasović                                        	playsFor            	FK_Partizan                                                     	AFC_Ajax                                              	8     	33.41986846923828
7    	Telmo_Zarra                                            	diedIn              	Bilbao                                                          	Bilbao                                                	1     	125.88605499267578
8    	Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury       	hasGender           	male                                                            	male                                                  	1     	11.694446563720703
9    	Torbjörn_Nilsson                                       	isAffiliatedTo      	Västra_Frölunda_IF                                              	IFK_Göteborg                                          	5     	18.529008865356445
10   	Rosemère,_Quebec                                       	isLocatedIn         	Thérèse-De_Blainville_Regional_County_Municipality              	Quebec                                                	4     	13.295621871948242
11   	Mark_Blake_(footballer_born_1970)                      	isAffiliatedTo      	Kidderminster_Harriers_F.C.                                     	Portsmouth_F.C.                                       	8     	22.611379623413086
12   	Tony_Jantschke                                         	playsFor            	SC_Borea_Dresden                                                	Germany_national_youth_football_team                  	2     	381.66375732421875
13   	Pavel_Košťál                                           	isAffiliatedTo      	SC_Wiener_Neustadt                                              	F.C._Hansa_Rostock                                    	6     	20.542522430419922
14   	Bret_McKenzie                                          	hasMusicalRole      	wordnet_drum_103249569                                          	wordnet_vocal_music_107282006                         	6     	7703.0625
15   	Édouard_Wawrzyniak                                     	isAffiliatedTo      	SC_Fives                                                        	Valenciennes_F.C.                                     	7     	47.117916107177734
16   	Chaker_Zouagi                                          	playsFor            	Olympique_Béja                                                  	Olmaliq_FK                                            	9     	205.6558837890625
17   	Nicolás_Olivera                                        	isAffiliatedTo      	Defensor_Sporting                                               	Córdoba_C.F.                                          	21    	96.26008605957031
18   	Guy_Dardenne                                           	isAffiliatedTo      	Boussu_Dour_Borinage                                            	R._White_Daring_Molenbeek                             	31    	182.82745361328125
19   	Jim_Moffat                                             	isAffiliatedTo      	Forfar_Athletic_F.C.                                            	Albion_Rovers_F.C.                                    	9     	53.83671569824219
20   	Alan_Sunderland                                        	playsFor            	Ipswich_Town_F.C.                                               	Derry_City_F.C.                                       	7     	30.296674728393555
21   	José_Callejón                                          	playsFor            	Real_Madrid_C.F.                                                	Real_Madrid_C                                         	5     	16.650352478027344
22   	Adrian_Pătulea                                         	isAffiliatedTo      	CSM_Studențesc_Iași                                             	FC_Rapid_București                                    	11    	25.34983253479004
23   	Jesús_Turiel                                           	isAffiliatedTo      	Pontevedra_CF                                                   	Real_Valladolid_B                                     	5     	68.40550994873047
24   	Divya_Bharti                                           	actedIn             	Dil_Aashna_Hai                                                  	Balwaan                                               	707   	121.55158996582031
25   	Luciano_Quadros_da_Silva                               	wasBornIn           	São_Paulo                                                       	Porto_Alegre                                          	4     	33.17056655883789
26   	Pat_Noonan                                             	isAffiliatedTo      	Indiana_Hoosiers_men's_soccer                                   	Colorado_Rapids                                       	10    	109.36033630371094
27   	Battle_of_the_Dukla_Pass                               	happenedIn          	Kingdom_of_Hungary_(1920–46)                                    	Nazi_Germany                                          	7     	38.732540130615234
28   	Frank_Mill                                             	isAffiliatedTo      	Rot-Weiss_Essen                                                 	Fortuna_Düsseldorf                                    	7     	337.2129211425781
29   	Volodymyr_Muntyan                                      	isAffiliatedTo      	Soviet_Union_national_football_team                             	S.K._Tavriya_Simferopol                               	25    	76.4384536743164
30   	Leopold_III,_Margrave_of_Austria                       	hasChild            	Henry_II,_Duke_of_Austria                                       	Gertrude_of_Babenberg,_Duchess_of_Bohemia             	7     	30.51761245727539
31   	Marcel_Schmelzer                                       	playsFor            	SV_Fortuna_Magdeburg                                            	Germany_national_under-21_football_team               	6     	43.982276916503906
32   	Eran_Zahavi                                            	wasBornIn           	Holon                                                           	Rishon_LeZion                                         	2     	54.407310485839844
33   	Antonio_Candreva                                       	playsFor            	Italy_national_under-18_football_team                           	Ternana_Calcio                                        	13    	18.71953773498535
